Date,Prediction
2013-08-31,16.96589040216387
2013-09-30,16.24683717992308
2013-10-31,15.481652933487306
2013-11-30,14.902551964464479
2013-12-31,14.620065776612536
2014-01-31,14.748052437364164
2014-02-28,15.219208524060324
2014-03-31,15.911291798699178
2014-04-30,16.622218483807934
2014-05-31,17.17019793836999
2014-06-30,17.398603105555722
2014-07-31,17.25832403314918
2014-08-31,16.78979179679516
2014-09-30,16.129765971422785
2014-10-31,15.457752967684483
2014-11-30,14.95945464003545
2014-12-31,14.76505951765444
2015-01-31,14.9233032915707
2015-02-28,15.383663845217283
2015-03-31,16.01652282835641
2015-04-30,16.645965510938748
2015-05-31,17.101607683926318
2015-06-30,17.262341252947625
2015-07-31,17.090187101610915
2015-08-31,16.6376862258687
2015-09-30,16.033127064841565
2015-10-31,15.443381366748683
2015-11-30,15.028578066285773
2015-12-31,14.898158545273779
2016-01-31,15.082485727333115
2016-02-29,15.525686532392385
2016-03-31,16.102673662340834
2016-04-30,16.654181454601463
2016-05-31,17.03083196766736
2016-06-30,17.13342000340935
2016-07-31,16.939063088388284
2016-08-31,16.50595343478898
2016-09-30,15.95613542866133
2016-10-31,15.441131533103812
2016-11-30,15.10026940182324
2016-12-31,15.023010664326975
2017-01-31,15.225569025792467
2017-02-28,15.6478153153862
2017-03-31,16.171018332154617
2017-04-30,16.65116251945034
2017-05-31,16.9585522740629
2017-06-30,17.012789612186044
2017-07-31,16.803732844225145
2017-08-31,16.39297263900921
2017-09-30,15.895795820521853
2017-10-31,15.448878591027567
2017-11-30,15.172758556558088
2017-12-31,15.139369998834551
2018-01-31,15.353379482316003
2018-02-28,15.752138006295555
2018-03-31,16.223928843439595
2018-04-30,16.63921679148534
2018-05-31,16.886173355287784
2018-06-30,16.90074425898839
2018-07-31,16.68318910512622
2018-08-31,16.296842909064143
2018-09-30,15.84975980763581
2018-10-31,15.464537293725538
2018-11-30,15.244736427407183
2018-12-31,15.247084663532277
2019-01-31,15.466910552116751
2019-02-28,15.840527904934
2019-03-31,16.26361402329895
2019-04-30,16.620297140805178
2019-05-31,16.814854274592182
2019-06-30,16.797358093885713
2019-07-31,16.57641321912988
2019-08-31,16.21575520040706
2019-09-30,15.815929443726246
2019-10-31,15.486299681490355
2019-11-30,15.315168291165152
2019-12-31,15.346162518034365
2020-01-31,15.567189899924038
2020-02-29,15.914736034372664
2020-03-31,16.292058227806756
2020-04-30,16.596078601755885
2020-05-31,16.745510517981188
2020-06-30,16.702552571498927
2020-07-31,16.482371602917205
2020-08-31,16.14801942095593
2020-09-30,15.79242908314166
2020-10-31,15.512617824244625
2020-11-30,15.383248481437018
2020-12-31,15.436745741734848
2021-01-31,15.655251611304903
2021-02-28,15.976391253654636
2021-03-31,16.31103159093435
2021-04-30,16.567989029691056
2021-05-31,16.67884582165343
2021-06-30,16.616129243500836
2021-07-31,16.400033910152718
2021-08-31,16.092068443910566
2021-09-30,15.777590417485609
2021-10-31,15.542177442208171
2021-11-30,15.448367466446093
2021-12-31,15.519082402169023
2022-01-31,15.732118365143922
2022-02-28,16.026998880321198
2022-03-31,16.322104233095544
2022-04-30,16.537235493747858
2022-05-31,16.615382772175906
2022-06-30,16.537796630001544
2022-07-31,16.328388583088508
2022-08-31,16.046458599013235
2022-09-30,15.769937825912386
2022-10-31,15.573872544420473
2022-11-30,15.510082726602986
2022-12-31,15.593501660161639
2023-01-31,15.798787542383131
2023-02-28,16.067941345307524
2023-03-31,16.326660968637803
2023-04-30,16.50482882539857
2023-05-31,16.555490314716607
2023-06-30,16.467193183201765
2023-07-31,16.2664550942713
2023-08-31,16.009868075607955
2023-09-30,15.768173612750651
2023-10-31,15.606781761053202
2023-11-30,15.568092767490684
2023-12-31,15.66039257336664
2024-01-31,15.856220488719526
2024-02-29,16.100480646336493
2024-03-31,16.325916040929474
2024-04-30,16.47160641018709
2024-05-31,16.49940825977515
2024-06-30,16.403906819634226
2024-07-31,16.21329328566333
2024-08-31,15.981093716636053
2024-09-30,15.771163354719077
2024-10-31,15.640146434079732
2024-11-30,15.622214039192386
2024-12-31,15.720186138006765
2025-01-31,15.905334465661142
2025-02-28,16.125762215872562
2025-03-31,16.320927639579736
2025-04-30,16.438253215934328
2025-05-31,16.447268989653715
2025-06-30,16.347491393928358
2025-07-31,16.168010227903856
2025-08-31,15.95904657399699
2025-09-30,15.777921565414188
2025-10-31,15.673350466170195
2025-11-30,15.672360551220077
2025-12-31,15.773340213741726
2026-01-31,15.94699688557964
2026-02-28,16.144819863957864
2026-03-31,16.312612013424587
2026-04-30,16.405321074185334
2026-05-31,16.399116574790607
2026-06-30,16.29748045817056
2026-07-31,16.12976498084931
2026-08-31,15.942746539976842
2026-09-30,15.787597840437744
2026-10-31,15.705901898656384
2026-11-30,15.718525972423
2026-12-31,15.820327000392735
2027-01-31,15.982021470827656
2027-02-28,16.15858150584519
2027-03-31,16.301757036465766
2027-04-30,16.37324625560007
2027-05-31,16.35492350969665
2027-06-30,16.253398625638596
2027-07-31,16.097771594549435
2027-08-31,15.931316321785326
2027-09-30,15.799463606797119
2027-10-31,15.737416167823891
2027-11-30,15.760768007693036
2027-12-31,15.861622760347602
2028-01-31,16.011166017722534
2028-02-29,16.16787542919498
2028-03-31,16.28903512078682
2028-04-30,16.342365398845633
2028-05-31,16.31460527439083
2028-06-30,16.21477083253964
2028-07-31,16.071300650632537
2028-08-31,15.923974983887387
2028-09-30,15.812899566284445
2028-10-31,15.767600972331529
2028-11-30,15.799194848470535
2028-12-31,15.897699505484109
2029-01-31,16.035131483892705
